Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
75,Dani Alves\Dani-Alves,br BRA,MFDF,Paris S-G,fr Ligue 1,35,1983,23,19,1622,1,7,0,0,4,0,0.06,0.39,0.44,0.06,0.44,2.2,2.2,7,0.12,0.39,0.51,0.12,0.51,Matches
76,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.78,0,0.78,0.78,0.78,Matches
77,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MFDF,Sevilla,es La Liga,25,1993,17,7,762,0,0,0,0,2,0,0,0,0,0,0,0.8,0.8,0.1,0.09,0.01,0.1,0.09,0.1,Matches
78,Romain Amalfitano\Romain-Amalfitano,fr FRA,MFFW,Dijon,fr Ligue 1,28,1989,32,30,2522,0,0,0,0,3,1,0,0,0,0,0,0.6,0.6,0.9,0.02,0.03,0.06,0.02,0.06,Matches
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,7,641,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.05,0.02,0.08,0.05,0.08,Matches
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,31,31,2763,0,0,0,0,9,0,0,0,0,0,0,0.7,0.7,0.1,0.02,0,0.03,0.02,0.03,Matches
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,15,13,1002,1,2,0,0,4,0,0.09,0.18,0.27,0.09,0.27,1.6,1.6,0.7,0.14,0.07,0.21,0.14,0.21,Matches
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,24,2177,0,2,0,0,7,2,0,0.08,0.08,0,0.08,0.6,0.6,1.9,0.02,0.08,0.1,0.02,0.1,Matches
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,32,2880,0,1,0,0,6,0,0,0.03,0.03,0,0.03,0.5,0.5,0.7,0.02,0.02,0.04,0.02,0.04,Matches
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,13,10,754,3,1,0,0,1,0,0.36,0.12,0.48,0.36,0.48,2.2,2.2,1.7,0.26,0.21,0.47,0.26,0.47,Matches
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,2880,0,1,0,0,7,0,0,0.03,0.03,0,0.03,0.9,0.9,0.5,0.03,0.02,0.05,0.03,0.05,Matches
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,36,36,3043,9,4,0,0,3,0,0.27,0.12,0.38,0.27,0.38,5.2,5.2,6.7,0.16,0.2,0.35,0.16,0.35,Matches
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,23,8,881,3,0,0,0,5,0,0.31,0,0.31,0.31,0.31,2.2,2.2,0.1,0.23,0.01,0.24,0.23,0.24,Matches
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,30,28,2495,3,1,0,0,8,1,0.11,0.04,0.14,0.11,0.14,3.3,3.3,1.3,0.12,0.05,0.16,0.12,0.16,Matches
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,3,1,106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,8,7,646,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.03,0,0.03,0.03,0.03,Matches
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,35,34,3028,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,3.6,0.02,0.11,0.13,0.02,0.13,Matches
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,24,23,1807,3,2,0,0,3,0,0.15,0.1,0.25,0.15,0.25,1.4,1.4,2.6,0.07,0.13,0.2,0.07,0.2,Matches
97,Mirco Antenucci\Mirco-Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,35,22,2133,5,0,1,2,0,0,0.21,0,0.21,0.17,0.17,6.7,5.1,1.5,0.28,0.06,0.34,0.22,0.28,Matches
98,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34,34,3060,1,0,0,0,4,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.2,0.04,0.01,0.04,0.04,0.04,Matches
99,Luca Antonelli\Luca-Antonelli,it ITA,DFMF,Empoli,it Serie A,31,1987,13,10,755,0,1,0,0,1,0,0,0.12,0.12,0,0.12,0.8,0.8,0.2,0.09,0.03,0.12,0.09,0.12,Matches
100,Mauro Antonio Burruchaga\Mauro-Antonio-Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
101,Michail Antonio\Michail-Antonio,eng ENG,FWMF,West Ham,eng Premier League,28,1990,33,22,2103,6,4,0,0,3,0,0.26,0.17,0.43,0.26,0.43,7.4,7.4,3.4,0.32,0.15,0.46,0.32,0.46,Matches
102,Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,30,1987,30,18,1863,2,1,0,0,5,0,0.1,0.05,0.14,0.1,0.14,1,1,1.9,0.05,0.09,0.14,0.05,0.14,Matches
103,Vitorino Antunes\Vitorino-Antunes,pt POR,DF,Getafe,es La Liga,31,1987,28,25,2181,1,3,0,0,5,0,0.04,0.12,0.17,0.04,0.17,0.9,0.9,2.7,0.04,0.11,0.15,0.04,0.15,Matches
104,Anuar\Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,19,12,1081,1,0,0,0,6,0,0.08,0,0.08,0.08,0.08,2.6,2.6,0.1,0.22,0.01,0.23,0.22,0.23,Matches
105,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,15,13,1025,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,1.3,0.04,0.11,0.15,0.04,0.15,Matches
106,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,37,35,3061,7,7,0,0,2,0,0.21,0.21,0.41,0.21,0.41,7.3,7.3,3.3,0.22,0.1,0.31,0.22,0.31,Matches
107,Emmanuel Apeh\Emmanuel-Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.43,0.43,0,0.43,Matches
108,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,33,32,2676,1,2,0,0,8,0,0.03,0.07,0.1,0.03,0.1,1.4,1.4,1.6,0.05,0.05,0.1,0.05,0.1,Matches
109,Guilherme Arana\Guilherme-Arana,br BRA,MFDF,Sevilla,es La Liga,21,1997,9,8,629,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.1,0.03,0.02,0.04,0.03,0.04,Matches
110,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,24,22,1891,2,7,0,0,3,0,0.1,0.33,0.43,0.1,0.43,1.4,1.4,2.7,0.07,0.13,0.19,0.07,0.19,Matches
111,Luiz Araújo\Luiz-Araujo,br BRA,FWMF,Lille,fr Ligue 1,22,1996,25,6,781,3,2,0,0,2,1,0.35,0.23,0.58,0.35,0.58,2.4,2.4,1.2,0.28,0.13,0.41,0.28,0.41,Matches
112,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,32,30,2682,3,0,0,0,3,1,0.1,0,0.1,0.1,0.1,1.7,1.7,0.3,0.06,0.01,0.07,0.06,0.07,Matches
113,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,25,22,1950,1,2,0,0,6,1,0.05,0.09,0.14,0.05,0.14,0.8,0.8,0.4,0.04,0.02,0.06,0.04,0.06,Matches
114,Joaquín Ardaiz\Joaquin-Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
115,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,1890,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,25,20,1772,1,1,0,0,4,0,0.05,0.05,0.1,0.05,0.1,0.4,0.4,1,0.02,0.05,0.07,0.02,0.07,Matches
